min1	min2	min3
1.461	1.287	1.225
1.346	0.86	3.159
0.386	4.851	1.277
1.323	1.435	2.822
0.539	1.91	4.354
1.15	3.031	0.867
0.843	1.736	0.987
0.813	1.376	1.789
4.792	0.367	2.292
2.02	0.782	6.91
0.618	2.77	1.032
2.954	0.573	3.954
1.484	1.253	1.669
1.309	2.083	1.814
0.918	1.192	2.005
0.809	1.572	1.163
0.807	1.481	1.183
2.358	1.066	2.156
2.493	0.989	1.707
2.425	0.972	1.727
1.173	1.653	2.872
0.758	2.986	1.183
0.95	1.319	2.463
1.545	1.145	4.059
1.146	1.277	1.539
2.804	1.275	1.703
1.212	1.457	2.603
1.028	1.915	1.304
1.126	1.565	1.845
1.006	2.097	0.84
